Time,Game
2022-09-30 03:00:00,Warriors VS Wizards
2022-10-01 22:00:00,Wizards VS Warriors
2022-10-03 19:30:00,Kings VS Lakers
2022-10-09 17:30:00,Lakers VS Warriors
2022-10-09 18:00:00,Trail Blazers VS Kings
2022-10-11 19:00:00,Trail Blazers VS Warriors
2022-10-12 19:00:00,Kings VS Suns
2022-10-14 19:00:00,Nuggets VS Warriors
2022-10-14 19:00:00,Lakers VS Kings
2022-10-18 19:00:00,Lakers VS Warriors
2022-10-19 19:00:00,Trail Blazers VS Kings
2022-10-21 19:00:00,Nuggets VS Warriors
2022-10-22 19:00:00,Clippers VS Kings
2022-10-23 17:30:00,Kings VS Warriors
2022-10-25 19:00:00,Warriors VS Suns
2022-10-27 19:00:00,Heat VS Warriors
2022-10-27 19:00:00,Grizzlies VS Kings
2022-10-29 15:00:00,Heat VS Kings
2022-10-29 16:00:00,Warriors VS Hornets
2022-10-30 15:00:00,Warriors VS Pistons
2022-10-31 16:00:00,Kings VS Hornets
2022-11-01 16:30:00,Warriors VS Heat
2022-11-02 16:30:00,Kings VS Heat
2022-11-03 16:00:00,Warriors VS Magic
2022-11-04 17:30:00,Warriors VS Pelicans
2022-11-05 14:00:00,Kings VS Magic
2022-11-07 19:00:00,Kings VS Warriors
2022-11-09 19:00:00,Cavaliers VS Kings
2022-11-11 19:00:00,Cavaliers VS Warriors
2022-11-11 19:30:00,Kings VS Lakers
2022-11-13 18:00:00,Warriors VS Kings
2022-11-14 19:00:00,Spurs VS Warriors
2022-11-15 19:00:00,Nets VS Kings
2022-11-16 19:00:00,Warriors VS Suns
2022-11-17 19:00:00,Spurs VS Kings
2022-11-18 19:00:00,Knicks VS Warriors
2022-11-20 15:00:00,Pistons VS Kings
2022-11-20 16:00:00,Warriors VS Rockets
2022-11-21 17:00:00,Warriors VS Pelicans
2022-11-22 17:00:00,Kings VS Grizzlies
2022-11-23 16:30:00,Kings VS Hawks
2022-11-23 19:00:00,Clippers VS Warriors
2022-11-25 17:00:00,Kings VS Celtics
2022-11-25 19:00:00,Jazz VS Warriors
2022-11-27 12:30:00,Warriors VS Timberwolves
2022-11-28 19:00:00,Suns VS Kings
2022-11-29 16:30:00,Warriors VS Mavericks
2022-11-30 19:00:00,Pacers VS Kings
2022-12-02 19:00:00,Bulls VS Warriors
2022-12-03 13:00:00,Kings VS Clippers
2022-12-03 17:30:00,Rockets VS Warriors
2022-12-04 15:00:00,Bulls VS Kings
2022-12-05 19:00:00,Pacers VS Warriors
2022-12-06 03:35:00,辽宁 VS 北控
2022-12-07 17:00:00,Kings VS Bucks
2022-12-07 18:00:00,Warriors VS Jazz
2022-12-08 23:00:00,深圳 VS 辽宁
2022-12-09 16:30:00,Kings VS Cavaliers
2022-12-10 17:30:00,Celtics VS Warriors
2022-12-11 15:00:00,Kings VS Knicks
2022-12-11 19:00:00,同曦 VS 辽宁
2022-12-13 16:00:00,Kings VS 76ers
